"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Неуспешное заполнение страницы Checkout","752","Негативное заполнение Checkout","Surefire suite","2026-06-12","passed","2026-06-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckout"
"Негативная авторизация","447","Негативная авторизация","Surefire suite","2026-06-12","passed","2026-06-12","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Продолжение покупок(Continue Shopping) из Cart","842","Продолжение покупок(Continue Shopping)","Surefire suite","2026-06-12","passed","2026-06-12","tests.ProductsTest","Surefire test","tests.ProductsTest","checkContinueShoppingButton"
"Открытие страницы Checkout из Cart","889","Открытие страницы Checkout","Surefire suite","2026-06-12","passed","2026-06-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutButton"
"Неуспешное заполнение страницы Checkout","745","Негативное заполнение Checkout","Surefire suite","2026-06-12","passed","2026-06-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckout"
"Отображение товара в корзине","603","Отображение товара в корзине","Surefire suite","2026-06-12","passed","2026-06-12","tests.CartTest","Surefire test","tests.CartTest","checkCartIsNotEmpty"
"Негативная авторизация","430","Негативная авторизация","Surefire suite","2026-06-12","passed","2026-06-12","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"","1","chekLocator","Surefire suite","2026-06-12","unknown","2026-06-12","tests.LocatorTest","Surefire test","tests.LocatorTest","chekLocator"
"Проверка перехода в Cart из Product","540","Проверка перехода в Cart","Surefire suite","2026-06-12","passed","2026-06-12","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCart"
"Успешная авторизация","501","Авторизация с валидными данными","Surefire suite","2026-06-12","passed","2026-06-12","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Негативная авторизация","412","Негативная авторизация","Surefire suite","2026-06-12","passed","2026-06-12","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Неуспешное заполнение страницы Checkout","745","Негативное заполнение Checkout","Surefire suite","2026-06-12","passed","2026-06-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckout"
"Успешное заполнение страницы Checkout","762","Успешное заполнение страницы Checkout","Surefire suite","2026-06-12","passed","2026-06-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","isPersonalInfoValid"
"Проверка добавления Fake товара на Product","557","Проверка добавления Fake товара на Product","Surefire suite","2026-06-12","broken","2026-06-12","tests.ProductsTest","Surefire test","tests.ProductsTest","checkAddToCartFake"
"Проверка добавления товара на Product","529","Проверка добавления товара на Product","Surefire suite","2026-06-12","passed","2026-06-12","tests.ProductsTest","Surefire test","tests.ProductsTest","checkAddToCart"
